Invoice ID,Date,Time,Branch,City,Customer type,Gender,Product Line,Unit Price,Quantity,Cost,Tax 5%,Total Cost,Payment Mode,Gross Income,Gross Margin Percentage,Rating
670-71-7306,01-02-2019,20:08:00,B,Nashik,Normal,Male,Sports and travel,44.63,6,267.78,13.389,281.169,Credit Card,13.389,4.761904762,5.1
554-53-8700,02-02-2019,10:11:00,C,Pune,Member,Male,Home and lifestyle,56.11,2,112.22,5.611,117.831,Cash,5.611,4.761904762,6.3
382-03-4532,02-02-2019,18:50:00,A,Mumbai,Member,Female,Health and beauty,18.33,1,18.33,0.9165,19.2465,Cash,0.9165,4.761904762,4.3
642-32-2990,02-02-2019,20:48:00,A,Mumbai,Normal,Female,Food and beverages,10.96,10,109.6,5.48,115.08,E-wallet,5.48,4.761904762,6
376-02-8238,02-02-2019,18:42:00,B,Nashik,Normal,Male,Home and lifestyle,93.87,8,750.96,37.548,788.508,Credit Card,37.548,4.761904762,8.3
845-51-0542,02-02-2019,15:34:00,B,Nashik,Member,Male,Food and beverages,46.55,9,418.95,20.9475,439.8975,E-wallet,20.9475,4.761904762,6.4
376-56-3573,02-02-2019,13:23:00,C,Pune,Normal,Female,Fashion accessories,95.42,4,381.68,19.084,400.764,E-wallet,19.084,4.761904762,6.4
201-86-2184,02-02-2019,19:40:00,B,Nashik,Member,Female,Electronic accessories,26.26,7,183.82,9.191,193.011,Cash,9.191,4.761904762,9.9
405-31-3305,02-02-2019,18:31:00,A,Mumbai,Member,Male,Fashion accessories,43.13,10,431.3,21.565,452.865,Credit Card,21.565,4.761904762,5.5
541-08-3113,02-02-2019,20:29:00,C,Pune,Normal,Male,Food and beverages,65.97,8,527.76,26.388,554.148,Cash,26.388,4.761904762,8.4
420-18-8989,02-02-2019,15:47:00,A,Mumbai,Member,Female,Sports and travel,51.52,8,412.16,20.608,432.768,Cash,20.608,4.761904762,9.6
418-05-0656,02-02-2019,20:42:00,B,Nashik,Normal,Female,Fashion accessories,25.56,7,178.92,8.946,187.866,Cash,8.946,4.761904762,7.1
390-17-5806,02-02-2019,16:33:00,C,Pune,Member,Female,Food and beverages,38.42,1,38.42,1.921,40.341,Cash,1.921,4.761904762,8.6
717-96-4189,02-02-2019,12:40:00,C,Pune,Normal,Female,Electronic accessories,35.49,6,212.94,10.647,223.587,Cash,10.647,4.761904762,4.1
756-93-1854,02-02-2019,14:05:00,C,Pune,Member,Female,Fashion accessories,83.35,2,166.7,8.335,175.035,Credit Card,8.335,4.761904762,9.5
549-59-1358,03-02-2019,17:36:00,A,Mumbai,Member,Male,Sports and travel,88.63,3,265.89,13.2945,279.1845,E-wallet,13.2945,4.761904762,6
225-98-1496,03-02-2019,13:01:00,C,Pune,Normal,Female,Fashion accessories,27.02,3,81.06,4.053,85.113,Credit Card,4.053,4.761904762,7.1
817-69-8206,03-02-2019,19:42:00,B,Nashik,Normal,Female,Electronic accessories,99.73,9,897.57,44.8785,942.4485,Credit Card,44.8785,4.761904762,6.5
346-84-3103,03-02-2019,19:26:00,B,Nashik,Member,Female,Electronic accessories,13.22,5,66.1,3.305,69.405,Cash,3.305,4.761904762,4.3
883-17-4236,03-02-2019,19:44:00,C,Pune,Normal,Female,Sports and travel,14.39,2,28.78,1.439,30.219,Credit Card,1.439,4.761904762,7.2
565-67-6697,03-02-2019,14:16:00,B,Nashik,Member,Male,Home and lifestyle,27,9,243,12.15,255.15,Cash,12.15,4.761904762,4.8
878-30-2331,03-02-2019,11:22:00,C,Pune,Member,Female,Sports and travel,54.55,10,545.5,27.275,572.775,Credit Card,27.275,4.761904762,7.1
408-26-9866,03-02-2019,16:42:00,C,Pune,Normal,Female,Sports and travel,73.98,7,517.86,25.893,543.753,E-wallet,25.893,4.761904762,4.1
576-31-4774,03-02-2019,13:10:00,B,Nashik,Normal,Female,Health and beauty,73.41,3,220.23,11.0115,231.2415,E-wallet,11.0115,4.761904762,4
640-48-5028,03-02-2019,12:40:00,B,Nashik,Member,Female,Home and lifestyle,88.39,9,795.51,39.7755,835.2855,Cash,39.7755,4.761904762,6.3
860-73-6466,03-02-2019,16:16:00,A,Mumbai,Member,Female,Sports and travel,39.47,2,78.94,3.947,82.887,Credit Card,3.947,4.761904762,5
607-76-6216,03-02-2019,16:35:00,C,Pune,Member,Female,Fashion accessories,92.49,5,462.45,23.1225,485.5725,Credit Card,23.1225,4.761904762,8.6
725-54-0677,03-02-2019,13:50:00,C,Pune,Member,Male,Health and beauty,85.6,7,599.2,29.96,629.16,Cash,29.96,4.761904762,5.3
636-98-3364,03-02-2019,12:36:00,B,Nashik,Member,Female,Electronic accessories,26.26,3,78.78,3.939,82.719,E-wallet,3.939,4.761904762,6.3
825-94-5922,03-02-2019,19:26:00,B,Nashik,Normal,Male,Sports and travel,25.31,2,50.62,2.531,53.151,E-wallet,2.531,4.761904762,7.2
720-72-2436,03-02-2019,18:14:00,A,Mumbai,Normal,Male,Food and beverages,66.52,4,266.08,13.304,279.384,E-wallet,13.304,4.761904762,6.9
172-42-8274,03-02-2019,18:18:00,B,Nashik,Normal,Female,Electronic accessories,38.27,2,76.54,3.827,80.367,Credit Card,3.827,4.761904762,5.8
303-96-2227,03-02-2019,17:16:00,B,Nashik,Normal,Female,Home and lifestyle,97.38,10,973.8,48.69,1022.49,E-wallet,48.69,4.761904762,4.4
249-42-3782,01-03-2019,11:36:00,A,Mumbai,Normal,Male,Health and beauty,70.01,5,350.05,17.5025,367.5525,E-wallet,17.5025,4.761904762,5.5
749-24-1565,01-03-2019,12:02:00,A,Mumbai,Normal,Female,Health and beauty,23.03,9,207.27,10.3635,217.6335,E-wallet,10.3635,4.761904762,7.9
687-15-1097,01-03-2019,19:17:00,C,Pune,Member,Female,Health and beauty,21.12,2,42.24,2.112,44.352,Cash,2.112,4.761904762,9.7
422-29-8786,01-03-2019,16:47:00,A,Mumbai,Normal,Female,Home and lifestyle,67.09,5,335.45,16.7725,352.2225,Credit Card,16.7725,4.761904762,9.1
343-87-0864,01-03-2019,10:30:00,C,Pune,Member,Male,Health and beauty,75.88,1,75.88,3.794,79.674,Credit Card,3.794,4.761904762,7.1
875-31-8302,01-03-2019,13:07:00,B,Nashik,Normal,Male,Sports and travel,93.38,1,93.38,4.669,98.049,Cash,4.669,4.761904762,9.6
501-61-1753,01-03-2019,20:24:00,B,Nashik,Normal,Female,Home and lifestyle,63.15,6,378.9,18.945,397.845,E-wallet,18.945,4.761904762,9.8
552-44-5977,01-03-2019,19:08:00,B,Nashik,Member,Male,Health and beauty,62,8,496,24.8,520.8,Credit Card,24.8,4.761904762,6.2
326-78-5178,02-03-2019,10:19:00,C,Pune,Member,Male,Food and beverages,91.4,7,639.8,31.99,671.79,Cash,31.99,4.761904762,9.5
347-34-2234,02-03-2019,13:40:00,B,Nashik,Member,Female,Sports and travel,55.07,9,495.63,24.7815,520.4115,E-wallet,24.7815,4.761904762,10
430-60-3493,02-03-2019,14:38:00,A,Mumbai,Member,Female,Home and lifestyle,94.88,7,664.16,33.208,697.368,Cash,33.208,4.761904762,4.2
566-71-1091,02-03-2019,15:59:00,A,Mumbai,Normal,Male,Fashion accessories,77.02,5,385.1,19.255,404.355,Cash,19.255,4.761904762,5.5
639-76-1242,02-03-2019,15:19:00,C,Pune,Normal,Male,Food and beverages,40.52,5,202.6,10.13,212.73,Cash,10.13,4.761904762,4.5
326-71-2155,02-03-2019,10:02:00,C,Pune,Normal,Female,Sports and travel,73.95,4,295.8,14.79,310.59,Cash,14.79,4.761904762,6.1
277-63-2961,02-03-2019,15:53:00,B,Nashik,Member,Male,Sports and travel,73.97,1,73.97,3.6985,77.6685,Credit Card,3.6985,4.761904762,5.4
718-57-9773,02-03-2019,16:40:00,C,Pune,Normal,Female,Sports and travel,49.33,10,493.3,24.665,517.965,Credit Card,24.665,4.761904762,9.4
443-59-0061,02-03-2019,11:25:00,A,Mumbai,Member,Male,Food and beverages,67.45,10,674.5,33.725,708.225,E-wallet,33.725,4.761904762,4.2
742-04-5161,02-03-2019,17:24:00,A,Mumbai,Member,Male,Home and lifestyle,72.78,10,727.8,36.39,764.19,Cash,36.39,4.761904762,7.3
322-02-2271,02-03-2019,11:46:00,B,Nashik,Normal,Female,Sports and travel,42.97,3,128.91,6.4455,135.3555,Cash,6.4455,4.761904762,9.3
585-86-8361,02-03-2019,10:31:00,A,Mumbai,Normal,Female,Food and beverages,27.28,5,136.4,6.82,143.22,Credit Card,6.82,4.761904762,8.6
190-59-3964,02-03-2019,14:35:00,B,Nashik,Member,Male,Food and beverages,47.16,5,235.8,11.79,247.59,Credit Card,11.79,4.761904762,6
676-10-2200,02-03-2019,20:13:00,B,Nashik,Member,Male,Fashion accessories,53.78,1,53.78,2.689,56.469,E-wallet,2.689,4.761904762,4.7
631-41-3108,03-03-2019,13:23:00,A,Mumbai,Normal,Male,Home and lifestyle,46.33,7,324.31,16.2155,340.5255,Credit Card,16.2155,4.761904762,7.4
777-82-7220,03-03-2019,13:01:00,B,Nashik,Member,Male,Home and lifestyle,30.12,8,240.96,12.048,253.008,Cash,12.048,4.761904762,7.7
861-77-0145,03-03-2019,14:30:00,C,Pune,Member,Male,Electronic accessories,81.97,10,819.7,40.985,860.685,Cash,40.985,4.761904762,9.2
733-33-4967,03-03-2019,19:17:00,C,Pune,Normal,Male,Electronic accessories,20.85,8,166.8,8.34,175.14,Cash,8.34,4.761904762,6.3
175-54-2529,03-03-2019,17:01:00,A,Mumbai,Member,Male,Food and beverages,22.17,8,177.36,8.868,186.228,Credit Card,8.868,4.761904762,9.6
305-14-0245,03-03-2019,19:00:00,B,Nashik,Member,Female,Home and lifestyle,94.49,8,755.92,37.796,793.716,E-wallet,37.796,4.761904762,7.5
211-05-0490,03-03-2019,13:42:00,C,Pune,Member,Female,Electronic accessories,51.92,5,259.6,12.98,272.58,Cash,12.98,4.761904762,7.5
568-88-3448,03-03-2019,15:09:00,A,Mumbai,Normal,Male,Health and beauty,25,1,25,1.25,26.25,E-wallet,1.25,4.761904762,5.5
234-03-4040,03-03-2019,12:25:00,B,Nashik,Member,Female,Food and beverages,73.05,10,730.5,36.525,767.025,Credit Card,36.525,4.761904762,8.7
302-15-2162,03-03-2019,10:54:00,C,Pune,Member,Male,Health and beauty,46.53,6,279.18,13.959,293.139,Credit Card,13.959,4.761904762,4.3
610-46-4100,03-03-2019,20:31:00,A,Mumbai,Normal,Male,Health and beauty,28.95,7,202.65,10.1325,212.7825,Credit Card,10.1325,4.761904762,6
468-99-7231,03-03-2019,17:36:00,C,Pune,Normal,Female,Home and lifestyle,44.01,8,352.08,17.604,369.684,Cash,17.604,4.761904762,8.8
651-96-5970,03-03-2019,20:06:00,A,Mumbai,Normal,Male,Fashion accessories,46.41,1,46.41,2.3205,48.7305,Credit Card,2.3205,4.761904762,4
324-41-6833,03-03-2019,19:30:00,C,Pune,Member,Female,Electronic accessories,30.2,8,241.6,12.08,253.68,E-wallet,12.08,4.761904762,5.1
279-74-2924,01-04-2019,19:40:00,B,Nashik,Member,Male,Electronic accessories,72.17,1,72.17,3.6085,75.7785,Cash,3.6085,4.761904762,6.1
672-51-8681,01-04-2019,18:19:00,C,Pune,Member,Female,Electronic accessories,66.65,9,599.85,29.9925,629.8425,Credit Card,29.9925,4.761904762,9.7
656-16-1063,01-04-2019,13:24:00,B,Nashik,Normal,Male,Sports and travel,46.42,3,139.26,6.963,146.223,Credit Card,6.963,4.761904762,4.4
731-14-2199,01-04-2019,13:34:00,A,Mumbai,Member,Female,Home and lifestyle,35.54,10,355.4,17.77,373.17,E-wallet,17.77,4.761904762,7
725-32-9708,01-04-2019,19:01:00,B,Nashik,Member,Female,Fashion accessories,68.71,4,274.84,13.742,288.582,Cash,13.742,4.761904762,4.1
132-23-6451,01-04-2019,13:21:00,A,Mumbai,Member,Male,Health and beauty,20.97,5,104.85,5.2425,110.0925,Cash,5.2425,4.761904762,7.8
441-94-7118,02-04-2019,12:14:00,A,Mumbai,Member,Male,Electronic accessories,71.95,1,71.95,3.5975,75.5475,Cash,3.5975,4.761904762,7.3
236-86-3015,02-04-2019,13:38:00,C,Pune,Member,Male,Home and lifestyle,13.98,1,13.98,0.699,14.679,E-wallet,0.699,4.761904762,9.8
745-71-3520,02-04-2019,10:23:00,A,Mumbai,Member,Female,Electronic accessories,25.22,7,176.54,8.827,185.367,Cash,8.827,4.761904762,8.2
627-95-3243,02-04-2019,13:21:00,B,Nashik,Member,Female,Home and lifestyle,77.68,9,699.12,34.956,734.076,E-wallet,34.956,4.761904762,9.8
198-66-9832,02-04-2019,19:38:00,B,Nashik,Member,Female,Fashion accessories,72.04,2,144.08,7.204,151.284,Cash,7.204,4.761904762,9.5
695-28-6250,02-04-2019,16:38:00,A,Mumbai,Normal,Female,Sports and travel,43.06,5,215.3,10.765,226.065,E-wallet,10.765,4.761904762,7.7
518-17-2983,02-04-2019,15:44:00,A,Mumbai,Normal,Female,Fashion accessories,48.63,4,194.52,9.726,204.246,E-wallet,9.726,4.761904762,7.6
268-20-3585,02-04-2019,12:50:00,C,Pune,Normal,Female,Health and beauty,13.85,9,124.65,6.2325,130.8825,E-wallet,6.2325,4.761904762,6
434-35-9162,02-04-2019,18:53:00,B,Nashik,Member,Male,Food and beverages,23.34,4,93.36,4.668,98.028,E-wallet,4.668,4.761904762,7.4
404-91-5964,02-04-2019,16:09:00,A,Mumbai,Normal,Male,Electronic accessories,74.58,7,522.06,26.103,548.163,Credit Card,26.103,4.761904762,9
151-33-7434,02-04-2019,20:43:00,B,Nashik,Normal,Female,Food and beverages,67.77,1,67.77,3.3885,71.1585,Credit Card,3.3885,4.761904762,6.5
228-96-1411,03-04-2019,20:39:00,C,Pune,Member,Female,Food and beverages,98.7,8,789.6,39.48,829.08,Cash,39.48,4.761904762,7.6
586-25-0848,03-04-2019,11:19:00,A,Mumbai,Normal,Female,Sports and travel,12.34,7,86.38,4.319,90.699,Credit Card,4.319,4.761904762,6.7
667-92-0055,03-04-2019,15:02:00,A,Mumbai,Member,Male,Health and beauty,99.83,6,598.98,29.949,628.929,E-wallet,29.949,4.761904762,8.5
320-49-6392,03-04-2019,15:44:00,C,Pune,Normal,Female,Electronic accessories,30.24,1,30.24,1.512,31.752,Cash,1.512,4.761904762,8.4
346-12-3257,03-04-2019,16:28:00,B,Nashik,Member,Male,Electronic accessories,19.24,9,173.16,8.658,181.818,Cash,8.658,4.761904762,8
256-08-8343,03-04-2019,19:48:00,A,Mumbai,Normal,Female,Home and lifestyle,56.53,4,226.12,11.306,237.426,E-wallet,11.306,4.761904762,5.5
227-50-3718,03-04-2019,12:23:00,A,Mumbai,Normal,Male,Health and beauty,14.62,5,73.1,3.655,76.755,Cash,3.655,4.761904762,4.4
689-05-1884,03-04-2019,12:44:00,A,Mumbai,Member,Male,Health and beauty,48.63,10,486.3,24.315,510.615,Cash,24.315,4.761904762,8.8
759-29-9521,03-04-2019,11:27:00,A,Mumbai,Member,Female,Fashion accessories,48.96,9,440.64,22.032,462.672,Cash,22.032,4.761904762,8
276-75-6884,03-04-2019,10:05:00,A,Mumbai,Normal,Female,Health and beauty,68.71,3,206.13,10.3065,216.4365,Cash,10.3065,4.761904762,8.7
558-60-5016,03-04-2019,15:27:00,A,Mumbai,Normal,Female,Home and lifestyle,33.3,9,299.7,14.985,314.685,E-wallet,14.985,4.761904762,7.2
221-25-5073,03-04-2019,10:39:00,A,Mumbai,Normal,Female,Food and beverages,74.66,4,298.64,14.932,313.572,Cash,14.932,4.761904762,8.5
750-67-8428,01-05-2019,13:08:00,A,Mumbai,Member,Female,Health and beauty,74.69,7,522.83,26.1415,548.9715,E-wallet,26.1415,4.761904762,9.1
628-34-3388,01-05-2019,20:54:00,C,Pune,Normal,Male,Fashion accessories,27.38,6,164.28,8.214,172.494,Credit Card,8.214,4.761904762,7.9
217-58-1179,01-05-2019,11:25:00,A,Mumbai,Member,Male,Home and lifestyle,62.65,4,250.6,12.53,263.13,Cash,12.53,4.761904762,4.2
144-51-6085,01-05-2019,16:05:00,A,Mumbai,Member,Male,Home and lifestyle,70.74,4,282.96,14.148,297.108,Credit Card,14.148,4.761904762,4.4
843-01-4703,01-05-2019,19:50:00,B,Nashik,Member,Female,Home and lifestyle,35.38,9,318.42,15.921,334.341,Credit Card,15.921,4.761904762,9.6
573-98-8548,01-05-2019,12:40:00,C,Pune,Member,Female,Fashion accessories,31.9,1,31.9,1.595,33.495,E-wallet,1.595,4.761904762,9.1
209-61-0206,01-05-2019,17:29:00,A,Mumbai,Normal,Female,Home and lifestyle,42.91,5,214.55,10.7275,225.2775,E-wallet,10.7275,4.761904762,6.1
339-12-4827,01-05-2019,11:32:00,B,Nashik,Member,Female,Fashion accessories,73.96,1,73.96,3.698,77.658,Credit Card,3.698,4.761904762,5
841-18-8232,01-05-2019,20:40:00,B,Nashik,Normal,Female,Food and beverages,71.2,1,71.2,3.56,74.76,Credit Card,3.56,4.761904762,9.2
801-88-0346,01-05-2019,20:30:00,C,Pune,Normal,Female,Fashion accessories,76.06,3,228.18,11.409,239.589,Credit Card,11.409,4.761904762,9.8
433-08-7822,01-05-2019,19:48:00,C,Pune,Normal,Female,Health and beauty,78.89,7,552.23,27.6115,579.8415,E-wallet,27.6115,4.761904762,7.5
489-82-1237,01-05-2019,11:51:00,A,Mumbai,Normal,Female,Electronic accessories,93.88,7,657.16,32.858,690.018,Credit Card,32.858,4.761904762,7.3
479-26-8945,02-05-2019,11:32:00,B,Nashik,Member,Female,Sports and travel,16.49,2,32.98,1.649,34.629,E-wallet,1.649,4.761904762,4.6
210-67-5886,02-05-2019,10:41:00,C,Pune,Member,Female,Health and beauty,98.21,3,294.63,14.7315,309.3615,Credit Card,14.7315,4.761904762,7.8
338-65-2210,02-05-2019,19:57:00,C,Pune,Member,Female,Health and beauty,68.6,10,686,34.3,720.3,Cash,34.3,4.761904762,9.1
729-09-9681,02-05-2019,10:16:00,A,Mumbai,Member,Male,Home and lifestyle,25.91,6,155.46,7.773,163.233,E-wallet,7.773,4.761904762,8.7
181-94-6432,02-05-2019,19:05:00,C,Pune,Member,Male,Fashion accessories,69.33,2,138.66,6.933,145.593,E-wallet,6.933,4.761904762,9.7
374-17-3652,02-05-2019,15:26:00,B,Nashik,Member,Female,Food and beverages,42.82,9,385.38,19.269,404.649,Credit Card,19.269,4.761904762,8.9
210-57-1719,02-05-2019,12:34:00,B,Nashik,Normal,Female,Health and beauty,58.24,9,524.16,26.208,550.368,Cash,26.208,4.761904762,9.7
880-35-0356,02-05-2019,11:51:00,A,Mumbai,Member,Female,Sports and travel,75.2,3,225.6,11.28,236.88,E-wallet,11.28,4.761904762,4.8
307-04-2070,02-05-2019,14:14:00,A,Mumbai,Member,Female,Fashion accessories,30.62,1,30.62,1.531,32.151,Credit Card,1.531,4.761904762,4.1
325-89-4209,02-05-2019,19:42:00,A,Mumbai,Member,Male,Food and beverages,87.9,1,87.9,4.395,92.295,E-wallet,4.395,4.761904762,6.7
409-49-6995,02-05-2019,10:17:00,C,Pune,Member,Female,Food and beverages,47.27,6,283.62,14.181,297.801,Cash,14.181,4.761904762,8.8
324-92-3863,02-05-2019,18:45:00,A,Mumbai,Member,Male,Electronic accessories,20.89,2,41.78,2.089,43.869,Cash,2.089,4.761904762,9.8
371-85-5789,03-05-2019,10:40:00,B,Nashik,Normal,Male,Health and beauty,87.98,3,263.94,13.197,277.137,E-wallet,13.197,4.761904762,5.1
510-95-6347,03-05-2019,18:17:00,B,Nashik,Member,Female,Food and beverages,48.52,3,145.56,7.278,152.838,E-wallet,7.278,4.761904762,4
829-49-1914,03-05-2019,16:24:00,C,Pune,Member,Female,Food and beverages,78.31,10,783.1,39.155,822.255,E-wallet,39.155,4.761904762,6.6
730-50-9884,03-05-2019,14:31:00,C,Pune,Normal,Female,Sports and travel,83.06,7,581.42,29.071,610.491,E-wallet,29.071,4.761904762,4
733-01-9107,03-05-2019,18:14:00,B,Nashik,Normal,Male,Home and lifestyle,82.7,6,496.2,24.81,521.01,Cash,24.81,4.761904762,7.4
291-32-1427,03-05-2019,12:29:00,B,Nashik,Member,Male,Fashion accessories,21.94,5,109.7,5.485,115.185,E-wallet,5.485,4.761904762,5.3
895-66-0685,03-05-2019,19:46:00,B,Nashik,Member,Male,Food and beverages,18.08,3,54.24,2.712,56.952,E-wallet,2.712,4.761904762,8
755-12-3214,03-05-2019,17:07:00,C,Pune,Member,Female,Fashion accessories,44.22,5,221.1,11.055,232.155,Credit Card,11.055,4.761904762,8.6
848-42-2560,03-05-2019,17:43:00,A,Mumbai,Normal,Female,Fashion accessories,81.91,2,163.82,8.191,172.011,Cash,8.191,4.761904762,7.8
433-75-6987,03-05-2019,19:06:00,B,Nashik,Member,Female,Health and beauty,55.97,7,391.79,19.5895,411.3795,E-wallet,19.5895,4.761904762,8.9
793-10-3222,03-05-2019,13:30:00,B,Nashik,Member,Female,Health and beauty,41.06,6,246.36,12.318,258.678,Credit Card,12.318,4.761904762,8.3
608-04-3797,03-05-2019,20:24:00,B,Nashik,Member,Female,Health and beauty,25.32,8,202.56,10.128,212.688,E-wallet,10.128,4.761904762,8.7
148-82-2527,03-05-2019,13:44:00,C,Pune,Member,Female,Home and lifestyle,12.12,10,121.2,6.06,127.26,Credit Card,6.06,4.761904762,8.4
655-07-2265,03-05-2019,16:38:00,A,Mumbai,Normal,Male,Electronic accessories,78.31,3,234.93,11.7465,246.6765,E-wallet,11.7465,4.761904762,5.4
174-64-0215,03-05-2019,17:49:00,B,Nashik,Normal,Male,Sports and travel,69.74,10,697.4,34.87,732.27,Credit Card,34.87,4.761904762,8.9
593-14-4239,03-05-2019,19:40:00,B,Nashik,Normal,Female,Home and lifestyle,95.46,8,763.68,38.184,801.864,E-wallet,38.184,4.761904762,4.7
102-77-2261,03-05-2019,18:02:00,C,Pune,Member,Male,Health and beauty,65.31,7,457.17,22.8585,480.0285,Credit Card,22.8585,4.761904762,4.2
393-65-2792,01-06-2019,12:46:00,C,Pune,Normal,Male,Food and beverages,89.48,10,894.8,44.74,939.54,Credit Card,44.74,4.761904762,9.6
